age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,target,age_group,balance_group,day_group,duration_group,campaign_group,quarter
58,management,married,tertiary,no,2143,yes,no,unknown,5,261,1,0,"(45, 59]","(1000, 3000]","(0, 10]","(240, 360]","(0, 1]",q2
44,technician,single,secondary,no,29,yes,no,unknown,5,151,1,0,"(34, 45]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
33,other,married,secondary,no,2,yes,yes,unknown,5,76,1,0,"(24, 34]","(0, 100]","(0, 10]","(60, 120]","(0, 1]",q2
47,blue-collar,married,unknown,no,1506,yes,no,unknown,5,92,1,0,"(45, 59]","(1000, 3000]","(0, 10]","(60, 120]","(0, 1]",q2
33,other,single,unknown,no,1,no,no,unknown,5,198,1,0,"(24, 34]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
35,management,married,tertiary,no,231,yes,no,unknown,5,139,1,0,"(34, 45]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
28,management,single,tertiary,no,447,yes,yes,unknown,5,217,1,0,"(24, 34]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
42,other,divorced,tertiary,yes,2,yes,no,unknown,5,380,1,0,"(34, 45]","(0, 100]","(0, 10]","(360, 600]","(0, 1]",q2
58,none,married,primary,no,121,yes,no,unknown,5,50,1,0,"(45, 59]","(100, 200]","(0, 10]","(0, 60]","(0, 1]",q2
43,technician,single,secondary,no,593,yes,no,unknown,5,55,1,0,"(34, 45]","(500, 1000]","(0, 10]","(0, 60]","(0, 1]",q2
41,admin,divorced,secondary,no,270,yes,no,unknown,5,222,1,0,"(34, 45]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
29,admin,single,secondary,no,390,yes,no,unknown,5,137,1,0,"(24, 34]","(200, 500]","(0, 10]","(120, 240]","(0, 1]",q2
53,technician,married,secondary,no,6,yes,no,unknown,5,517,1,0,"(45, 59]","(0, 100]","(0, 10]","(360, 600]","(0, 1]",q2
58,technician,married,unknown,no,71,yes,no,unknown,5,71,1,0,"(45, 59]","(0, 100]","(0, 10]","(60, 120]","(0, 1]",q2
57,services,married,secondary,no,162,yes,no,unknown,5,174,1,0,"(45, 59]","(100, 200]","(0, 10]","(120, 240]","(0, 1]",q2
51,none,married,primary,no,229,yes,no,unknown,5,353,1,0,"(45, 59]","(200, 500]","(0, 10]","(240, 360]","(0, 1]",q2
45,admin,single,unknown,no,13,yes,no,unknown,5,98,1,0,"(34, 45]","(0, 100]","(0, 10]","(60, 120]","(0, 1]",q2
57,blue-collar,married,primary,no,52,yes,no,unknown,5,38,1,0,"(45, 59]","(0, 100]","(0, 10]","(0, 60]","(0, 1]",q2
60,none,married,primary,no,60,yes,no,unknown,5,219,1,0,"(59, 100]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
33,services,married,secondary,no,0,yes,no,unknown,5,54,1,0,"(24, 34]","(-10000, 0]","(0, 10]","(0, 60]","(0, 1]",q2
28,blue-collar,married,secondary,no,723,yes,yes,unknown,5,262,1,0,"(24, 34]","(500, 1000]","(0, 10]","(240, 360]","(0, 1]",q2
56,management,married,tertiary,no,779,yes,no,unknown,5,164,1,0,"(45, 59]","(500, 1000]","(0, 10]","(120, 240]","(0, 1]",q2
32,blue-collar,single,primary,no,23,yes,yes,unknown,5,160,1,0,"(24, 34]","(0, 100]","(0, 10]","(120, 240]","(0, 1]",q2
25,services,married,secondary,no,50,yes,no,unknown,5,342,1,0,"(24, 34]","(0, 100]","(0, 10]","(240, 360]","(0, 1]",q2
40,none,married,primary,no,0,yes,yes,unknown,5,181,1,0,"(34, 45]","(-10000, 0]","(0, 10]","(120, 240]","(0, 1]",q2
